Time: 00:54:11 | Score: 40 | WARNING
Time: 00:54:13 | Score: 40 | WARNING
Time: 00:54:15 | Score: 30 | WARNING
Time: 00:54:17 | Score: 30 | WARNING
Time: 00:54:30 | Score: 40 | WARNING
Time: 00:54:33 | Score: 30 | WARNING
Time: 00:54:35 | Score: 30 | WARNING
Time: 00:54:37 | Score: 30 | WARNING
Time: 00:54:39 | Score: 30 | WARNING
Time: 00:54:42 | Score: 30 | WARNING
Time: 00:54:44 | Score: 30 | WARNING
Time: 00:54:46 | Score: 40 | WARNING
Time: 00:54:49 | Score: 60 | CRITICAL ALERT
Time: 00:54:51 | Score: 60 | CRITICAL ALERT
Time: 00:54:53 | Score: 60 | CRITICAL ALERT
Time: 00:54:55 | Score: 30 | WARNING
Time: 00:54:57 | Score: 30 | WARNING
Time: 00:54:59 | Score: 30 | WARNING
Time: 00:55:45 | Score: 40 | WARNING
Time: 00:55:47 | Score: 40 | WARNING
Time: 00:56:00 | Score: 40 | WARNING
Time: 00:56:02 | Score: 40 | WARNING
Time: 00:56:04 | Score: 30 | WARNING
Time: 00:56:06 | Score: 40 | WARNING
Time: 00:56:08 | Score: 40 | WARNING
Time: 00:56:10 | Score: 70 | CRITICAL ALERT
Time: 00:56:13 | Score: 70 | CRITICAL ALERT
Time: 00:56:15 | Score: 70 | CRITICAL ALERT
Time: 00:56:17 | Score: 40 | WARNING
Time: 00:56:19 | Score: 30 | WARNING
Time: 00:56:21 | Score: 40 | WARNING
Time: 00:56:24 | Score: 30 | WARNING
Time: 00:56:26 | Score: 70 | CRITICAL ALERT
Time: 00:56:28 | Score: 30 | WARNING
Time: 00:56:30 | Score: 60 | CRITICAL ALERT
Time: 00:59:41 | Score: 40 | WARNING
Time: 00:59:44 | Score: 40 | WARNING
Time: 00:59:46 | Score: 40 | WARNING
Time: 00:59:49 | Score: 30 | WARNING
Time: 00:59:51 | Score: 70 | CRITICAL ALERT
Time: 00:59:55 | Score: 40 | WARNING
Time: 00:59:59 | Score: 30 | WARNING
Time: 01:00:01 | Score: 40 | WARNING
Time: 01:00:05 | Score: 30 | WARNING
Time: 01:00:07 | Score: 30 | WARNING
Time: 01:00:23 | Score: 30 | WARNING
Time: 01:00:26 | Score: 40 | WARNING
Time: 01:00:28 | Score: 40 | WARNING
Time: 01:00:31 | Score: 30 | WARNING
Time: 01:00:33 | Score: 70 | CRITICAL ALERT
Time: 01:00:36 | Score: 70 | CRITICAL ALERT
Time: 01:00:38 | Score: 100 | CRITICAL ALERT
Time: 21:00:24 | Score: 40 | WARNING
Time: 21:00:29 | Score: 40 | WARNING
Time: 21:00:51 | Score: 40 | WARNING
Time: 21:01:04 | Score: 40 | WARNING
Time: 21:01:21 | Score: 40 | WARNING
Time: 21:01:28 | Score: 40 | WARNING
Time: 21:01:36 | Score: 40 | WARNING
Time: 21:01:46 | Score: 30 | WARNING
Time: 21:01:48 | Score: 30 | WARNING
Time: 21:01:50 | Score: 30 | WARNING
Time: 21:01:53 | Score: 30 | WARNING
Time: 21:01:58 | Score: 30 | WARNING
Time: 21:02:02 | Score: 30 | WARNING
Time: 21:02:04 | Score: 30 | WARNING
Time: 21:02:06 | Score: 30 | WARNING
Time: 21:02:08 | Score: 30 | WARNING
Time: 21:02:11 | Score: 30 | WARNING
Time: 21:02:13 | Score: 30 | WARNING
Time: 21:02:16 | Score: 30 | WARNING
Time: 21:02:19 | Score: 30 | WARNING
Time: 21:02:23 | Score: 40 | WARNING
Time: 21:11:03 | Score: 30 | WARNING
Time: 21:11:12 | Score: 40 | WARNING
Time: 21:11:16 | Score: 40 | WARNING
Time: 21:11:18 | Score: 40 | WARNING
Time: 21:11:30 | Score: 30 | WARNING
Time: 21:11:40 | Score: 40 | WARNING
Time: 21:17:13 | Score: 40 | WARNING
Time: 21:17:28 | Score: 40 | WARNING
Time: 21:17:31 | Score: 40 | WARNING
Time: 21:17:36 | Score: 40 | WARNING
Time: 21:17:38 | Score: 40 | WARNING
Time: 21:17:40 | Score: 40 | WARNING
Time: 21:17:48 | Score: 40 | WARNING
Time: 21:17:50 | Score: 30 | WARNING
Time: 21:17:52 | Score: 30 | WARNING
Time: 21:18:49 | Score: 30 | WARNING
Time: 21:18:49 | Score: 30 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
